sep=,
"Time","temperature","windSpeed","solarRad","humedad","rain","Power_gen","pressure_sensor","pressure"
1707532471000,13.3889,16.0934,0,60,0,0,389.87841799619935,28.097
1707533371000,13.3333,30.5775,0,59,0,0,392.0218739346602,28.089
1707534585000,13.2222,20.9215,0,59,0,0,390.0327348146776,28.085
1707536986000,13.8889,16.0934,0,51,0,0,390.0634580723124,28.083
1707847998000,18.5,1.60934,0,53,0,0,385.47935455340564,28.974
1707852199000,17.5,3.21869,0,55,0,0,385.5335956141159,28.99
1707856400000,16.3333,0,0,63,0,0,384.72014649639164,29.001
1707860601000,15.3889,6.43738,0,63,0,0,385.58543485663967,29.022
1707864502000,15.3333,9.65606,0,64,0,0,386.0502200343002,29.02
1707868703000,13.5556,0,0,70,0,0,386.06646566564456,29.008
1707872904000,13.2222,6.43738,0,70,0,0,386.1198727617068,29.002
1707877105000,12.7778,0,0,69,0,0,386.11853841826985,28.987
1707881307000,12.7778,0,0,67,0,0,385.7386508417825,28.98
1707885508000,11.8889,1.60934,0,74,0,0,385.2293653105012,28.98
1707889409000,12.5556,6.43738,0,68,0,0,386.0372101857904,28.993
1707909837000,19.1667,8.04672,404,56,0,0,426.42258208154936,29.025
1707914038000,21.4444,3.21869,584,46,0,0,387.1429472333689,28.99
1707917939000,22.0556,6.43738,353,45,0,0,385.5087434676035,28.968
1707919245000,21.7778,16.0934,320,45,0,0,433.54484032755397,28.967
1707920480000,21.6667,16.0934,241,46,0,0,421.7051109361239,28.959
1707921410000,21.5,16.0934,229,47,0,0,429.22050011722695,28.96
1707922333000,21.3889,16.0934,236,47,0,0,423.1520729591054,28.952
1707926234000,21,16.0934,134,48,0,0,390.8711695132579,28.948
1707930435000,19.8333,3.21869,39,50,0,0,388.2841778163692,28.933
1707934336000,17.5,9.65606,0,61,0,0,385.04475889600513,28.947
1707938237000,16.5,9.65606,0,61,0,0,385.65281920020357,28.954
1707942438000,15.6667,3.21869,0,68,0,0,386.7040483183845,28.957
1707946639000,14.5556,3.21869,0,69,0,0,386.7799057427726,28.952
1707950840000,13.2222,1.60934,0,67,0,0,386.73340387399634,28.941
1707955041000,12.5556,3.21869,0,64,0,0,386.82350541457356,28.919
1707958942000,12.6111,8.04672,0,62,0,0,386.5921302626139,28.901
1707963143000,11,1.60934,0,72,0,0,386.45409243406596,28.886
1707967344000,10.2778,0,0,77,0,0,386.7342378386445,28.869
1707971545000,9.88889,0,0,76,0,0,386.06696604443334,28.856
1707975746000,9.83333,1.60934,0,77,0,0,386.3221258681558,28.844
1707979948000,9.16667,0,0,80,0,0,387.4813367289684,28.852
1707988350000,13.2778,3.21869,274,72,0,0,438.8650677620161,28.848
1707992551000,16.3889,3.21869,329,57,0,0,450.2883485667877,28.841
1707996452000,19.5,8.04672,302,41,0,0,425.757612029767,28.821
1708000353000,20.2778,11.2654,425,34,0,0,384.25342652074767,28.778
1708004554000,20.2778,1.60934,172,33,0,0,389.073241807784,28.763
1708008455000,20.0556,6.43738,232,39,0,0,388.2151255435094,28.795
1708012656000,19.8333,3.21869,91,46,0,0,387.047608394802,28.793
1708016557000,18.1111,11.2654,7,54,0,0,386.57912041410407,28.799
1708020758000,15.6111,6.43738,0,69,0,0,385.52405505854205,28.765
1708023759000,16.2222,22.5308,0,61,0,0,385.5159489221628,28.8
1708027994000,15.2778,1.60934,0,67,0,0,385.6661959931585,28.799
1708029795000,16.2222,17.7028,0,61,0,0,384.5047501070891,28.811
1708031015000,16.2778,17.7028,0,60,0,0,387.2305468800019,28.809
1708035216000,16.0556,6.43738,0,58,0,0,385.440358366462,28.818
1708039417000,15.8889,6.43738,0,61,0,0,385.72420657407804,28.813
1708043618000,14.8333,6.43738,0,65,0,0,385.7250071801402,28.815
1708047819000,14.2778,1.60934,0,68,0,0,385.14983844166153,28.815
1708051420000,14.7222,16.0934,0,59,0,0,386.05318894844737,28.8
1708055621000,14.6667,1.60934,0,56,0,0,384.98744884539,28.794
1708059822000,12.5,1.60934,0,61,0,0,384.629010839651,28.824
1708064023000,11.7222,0,0,69,0,0,386.53395288876476,28.828
1708068224000,12.3333,8.04672,49,61,0,0,386.3628233429815,28.839
1708072125000,15.9444,9.65606,236,51,0,0,428.7253919849628,28.871
1708073625000,16.7778,17.7028,339,46,0,0,447.2948491418455,28.878
1708074882000,17.1667,16.0934,244,45,0,0,451.81253571618015,28.888
1708076082000,17.0556,16.0934,176,46,0,0,449.84798187402254,28.878
1708077282000,17.6111,17.7028,448,45,0,0,444.12565004484856,28.893
1708078483000,17.8333,22.5308,515,44,0,0,441.1519989785304,28.891
1708079427000,18.5,16.0934,522,44,0,0,450.32621056180983,28.89
1708080629000,18.5556,16.0934,547,43,0,0,452.96360708202764,28.879
1708081830000,18.7222,24.1402,526,42,0,0,431.64280047541547,28.889
1708084250000,19.1111,19.3121,499,40,0,0,447.6961195719092,28.876
1708085500000,18.8889,19.3121,381,42,0,0,440.00409667834555,28.883
1708086738000,19.6111,16.0934,251,38,0,0,448.7261326294433,28.873
1708087938000,20.1111,20.9215,533,36,0,0,454.37457519079857,28.867
1708089152000,19.3889,17.7028,346,36,0,0,395.1734930568758,28.868
1708090352000,19.6111,22.5308,635,34,0,0,389.4305789801876,28.861
1708091279000,19.7222,16.0934,338,34,0,0,393.33326666445197,28.857
1708092496000,19.7222,17.7028,287,34,0,0,390.0534838551215,28.873
1708093696000,19.6667,16.0934,359,34,0,0,443.7111028975876,28.873
